bgg_id,title,year_published,game_weight,avg_rating,min_players,max_players,num_owned,num_want,num_wish,mfg_playtime,com_min_playtime,com_max_playtime,mfg_age_rec,num_user_ratings
1,Die Macher,1986,4,7.6,3,5,7498,501,2039,240,240,240,14,5354
2,Dragonmaster,1981,2,6.6,3,4,1285,72,191,30,30,30,12,562
3,Samurai,1998,2,7.5,2,4,15578,799,3450,60,30,60,10,15146
4,Tal der KApnige,1992,3,6.6,2,4,638,54,123,60,60,60,12,340
5,Acquire,1964,3,7.3,2,6,23735,548,2671,90,90,90,12,18655
6,Mare Mediterraneum,1989,3,6.6,2,6,128,34,54,240,240,240,12,81
7,Cathedral,1978,2,6.5,2,2,6021,101,589,20,20,20,8,3320
8,Lords of Creation,1993,2,6.1,2,5,534,21,56,120,120,120,12,201
9,El Caballero,1998,3,6.5,2,4,2611,87,311,90,90,90,13,1389
10,Elfenland,1998,2,6.7,2,6,10115,179,759,60,60,60,10,8324
11,Bohnanza,1997,2,7,2,7,59803,362,2676,45,45,45,13,39886
12,Ra,1999,2,7.5,2,5,19094,1238,4798,60,45,60,12,19685
13,Catan,1995,2,7.1,3,4,165651,484,5865,120,60,120,10,107141
14,Basari,1998,2,6.8,3,4,1898,47,204,25,25,25,10,1650
15,Cosmic Encounter,1977,2,6.9,2,6,4326,122,462,90,90,90,12,3883
16,MarraCash,1996,2,6.8,3,4,1196,111,218,60,60,60,12,964
17,Button Men,1999,2,6.4,2,2,1346,39,150,5,5,5,10,804
18,RoboRally,1994,2,7.1,2,8,26283,522,2730,120,45,120,12,22840
19,Wacky Wacky West,1991,2,6.3,2,4,3255,49,146,45,30,45,9,1791
20,Full Metal PlanAte,1988,3,7.5,2,4,982,160,319,90,90,90,12,726
21,Gateway to the Stars,1994,3,5.5,1,7,97,1,15,0,0,0,12,32
22,Magic Realm,1979,5,7.2,1,16,3891,459,1528,240,240,240,12,2019
23,Divine Right,1979,3,7.1,2,6,1119,145,336,360,360,360,12,563
24,Twilight Imperium,1997,3,6.6,2,6,862,30,105,240,240,240,12,695
25,Battlemist,1998,3,5.9,2,6,681,16,56,200,200,200,12,322
26,Age of Renaissance,1996,4,7.1,3,6,2869,146,391,300,120,300,12,2144
27,Supremacy: The Game of the Superpowers,1984,3,5.7,2,6,2311,47,131,340,340,340,12,1334
28,Illuminati,1987,3,6.5,2,8,8754,74,425,180,60,180,12,4933
29,Terrain Vague,1993,3,6.7,2,4,218,35,53,120,120,120,10,71
30,Dark Tower,1981,2,6.8,1,4,1712,158,457,90,90,90,10,1295
31,Dark World,1991,2,5.4,2,5,2004,50,204,90,90,90,10,784
32,Buffalo Chess,1975,2,6.1,2,2,633,17,65,30,30,30,8,327
34,Arkham Horror,1987,2,6.6,1,8,895,66,183,180,180,180,12,535
36,Federation & Empire,1986,4,6.4,2,8,1144,32,109,300,300,300,12,407
37,Dragon Masters,1991,2,5.8,2,4,376,22,53,120,120,120,12,151
38,Runes,1981,2,6.2,2,4,292,3,18,30,30,30,10,97
39,Darkover,1979,3,5.3,2,4,285,13,44,60,60,60,12,108
40,Borderlands,1982,3,6.7,2,4,572,66,161,120,120,120,12,268
41,Can't Stop,1980,1,6.9,2,4,12942,401,1825,30,30,30,9,14370
42,Tigris & Euphrates,1997,4,7.7,2,4,29238,1389,6463,90,90,90,12,26068
43,Airlines,1990,2,6.6,2,6,490,27,61,90,90,90,12,370
44,David & Goliath,1997,2,6.5,3,6,1912,157,453,60,60,60,8,1598
45,Perudo,1800,1,6.9,2,6,16998,135,1039,30,15,30,8,13144
46,Medici,1995,2,7.2,2,6,8045,381,1371,60,60,60,10,7414
47,Chinatown,1999,2,7.4,3,5,11175,772,3107,60,60,60,12,9033
48,Krieg und Frieden,1999,2,6.1,2,4,1447,19,56,90,90,90,12,716
49,Mamma Mia!,1998,1,6.5,2,5,7804,115,496,30,30,30,10,5800
50,Lost Cities,1999,1,7.2,2,2,54756,501,4522,30,30,30,10,39233
51,Ricochet Robots,1999,2,7,1,99,8575,218,1176,30,30,30,10,8262
52,Mighty Empires,1990,3,6.2,2,3,951,61,107,300,300,300,14,515
53,Brauerei,1996,3,6,3,6,106,11,12,0,0,0,14,35
54,Tikal,1999,3,7.3,2,4,24086,638,3408,90,90,90,10,18453
55,Sophie's World,1998,2,4.9,2,6,277,4,8,90,60,90,12,90
57,Schoko & Co.,1987,3,6.7,2,4,858,22,47,180,180,180,13,408
58,Kings & Things,1986,3,6.5,2,4,3398,83,247,120,120,120,12,1627
59,Giganten,1999,3,6.7,3,4,1934,36,140,90,90,90,10,1392
60,Vinci,1999,3,7.1,3,6,3762,143,542,120,120,120,14,3965
61,Fossil,1998,2,5.4,2,6,968,8,41,40,40,40,10,673
62,Curse of the Mummy's Tomb,1988,2,5.3,1,4,642,38,92,120,120,120,12,341
63,Samurai: Game of Politics and Warfare in Feudal Japan,1979,3,6.5,2,8,1160,22,59,180,180,180,12,430
64,Joan of Arc,1998,3,6.3,3,6,755,25,72,180,180,180,12,445
66,LAwenherz,1997,3,7,2,4,3542,82,300,90,90,90,12,2459
67,Conquest,1974,3,6.4,2,4,847,24,65,120,120,120,10,373
68,Successors (First/Second Edition),1997,3,7,2,4,887,39,73,180,180,180,12,493
69,Bollox,1999,2,6.8,2,2,109,9,35,20,20,20,10,48
70,Big City,1999,2,6.9,2,5,2558,258,681,60,60,60,10,2376
71,Civilization,1980,4,7.5,2,7,10319,218,912,360,360,360,12,7197
72,VerrAter,1998,3,6.7,3,4,4186,53,229,60,60,60,12,1925
73,Show Manager,1996,2,7,2,6,1933,143,393,60,60,60,10,1723
74,Apples to Apples,1999,1,5.8,4,10,26507,63,536,30,30,30,12,17992
75,Falling,1998,1,5.5,4,8,2428,23,113,5,5,5,8,1394
76,Air Baron,1996,3,6.4,2,6,998,24,64,120,120,120,10,762
77,EastFront,1991,4,7.7,2,2,1121,36,138,240,240,240,12,673
78,"WestFront: The War in Europe, 1943-45",1992,3,6.8,2,2,560,10,20,240,240,240,12,189
79,MedFront: War in North Africa 1940-43,1994,3,6.3,2,2,402,13,22,180,180,180,12,124
82,Bobby Lee: The Civil War in Virginia 1861-1865,1993,3,6.7,2,2,914,33,89,240,240,240,12,349
83,Sam Grant: The Civil War in the West 1862-1864,1997,3,6.4,2,2,450,15,38,180,180,180,12,134
84,Rommel in the Desert,1982,3,7.5,2,2,2151,182,546,150,150,150,12,1003
85,Quebec 1759,1972,2,7,2,2,1286,103,242,60,60,60,12,702
87,Victory: World War II,1998,3,6.4,2,4,828,18,55,120,120,120,12,418
88,Torres,1999,3,7.1,2,4,12620,327,1523,60,60,60,12,8988
89,Blue vs. Gray,1999,3,6.8,2,4,1122,37,119,120,120,120,12,454
90,Star Wars: Episode 1 Clash of the Lightsabers,1999,1,6.2,2,2,1055,16,54,20,20,20,8,588
91,Paths of Glory,1999,4,8.1,2,2,8891,334,2023,480,480,480,14,4672
93,El Grande,1995,3,7.7,2,5,23410,1297,5455,120,60,120,12,24369
94,Union Pacific,1999,3,7.2,2,6,4386,236,615,90,90,90,12,4205
95,Igel Argern,1990,1,6.4,2,6,1142,50,116,30,30,30,8,1024
96,Broadsides & Boarding Parties,1982,2,6.2,2,2,1050,154,322,60,60,60,10,571
97,Conquest of the Empire,1984,3,6.3,2,6,1789,46,135,240,180,240,10,1023
98,Axis & Allies,1981,3,6.6,2,5,14855,57,374,180,180,180,12,10465
99,Fortress America,1986,3,6.7,2,4,3882,137,407,180,180,180,12,2419
101,Detroit-Cleveland Grand Prix,1996,2,6.8,2,6,1366,25,73,60,60,60,8,1095
102,Klunker,1999,2,6.2,3,5,1448,39,116,30,30,30,10,895
103,Titan,1980,3,7,2,6,5602,225,749,240,30,240,12,3900
104,Extrablatt,1991,3,7,3,4,359,78,148,90,90,90,14,257
105,Colossal Arena,1997,2,6.8,2,5,8598,146,648,60,40,60,8,7041
106,Mystery Rummy: Jack the Ripper,1998,2,6.9,2,4,5789,138,547,45,45,45,10,3369
108,TAMSK,1998,2,6.8,2,2,2071,203,541,20,20,20,8,1366
109,Wettstreit der Baumeister,1994,2,6.1,3,4,736,19,32,45,45,45,10,388
110,Auf Achse,1987,2,6.2,2,6,2714,124,272,60,60,60,8,1704
111,RheinlAnder,1999,2,6.6,3,5,2120,59,223,45,45,45,12,1554
112,Condottiere,1995,2,6.8,2,6,11581,341,1707,45,45,45,14,9007
113,Mit List und TAcke,1999,2,6.6,4,6,387,32,55,60,60,60,10,247
114,Ransom,1994,2,6.4,2,6,134,5,13,45,45,45,12,77
115,I'm the Boss!,1994,2,6.8,3,6,4041,177,711,60,60,60,12,3599
116,Guillotine,1998,1,6.5,2,5,28882,165,1305,30,30,30,12,19871
117,Ta YA,1999,2,7,2,4,1998,132,450,45,30,45,10,1489
118,Modern Art,1992,2,7.4,3,5,22288,791,3979,45,45,45,10,17950
119,Kingdoms,1994,2,6.6,2,4,6155,104,481,45,45,45,9,4732
120,Hoity Toity,1990,2,6.5,2,6,7634,122,464,45,45,45,12,5019
121,Dune,1979,3,7.6,2,6,6468,586,2378,180,60,180,12,5591
122,Quo Vadis?,1991,2,6.5,3,5,2834,105,289,45,45,45,12,2173
124,Primordial Soup,1997,3,6.9,3,4,5426,239,909,90,90,90,12,4588
125,Money!,1999,2,6.5,3,5,3778,81,239,30,30,30,10,2752
126,The Really Nasty Horse Racing Game,1989,2,6.2,2,6,1240,40,92,90,90,90,12,816
127,Princess Ryan's Star Marines,1997,2,5.4,1,6,543,16,55,120,120,120,10,211
128,Take it Easy!,1983,1,6.6,1,8,3860,59,278,20,20,20,10,2847
130,Iron Dragon,1994,3,7,2,6,2486,71,253,240,240,240,12,1599
132,Caesar & Cleopatra,1997,2,6.4,2,2,7321,68,284,60,60,60,10,4380
133,Frischfleisch,1999,3,6.1,2,6,245,57,110,120,120,120,18,149
134,Cape Horn,1999,2,6,3,5,968,7,39,45,45,45,12,552
135,Kontor,1999,2,6,2,4,1642,16,69,60,60,60,12,778
136,Robin Hood,1999,2,5.5,3,6,228,2,8,30,30,30,8,84
137,Pass the Bomb,1994,1,5.8,2,10,2567,5,64,20,20,20,12,1371
139,Hoax,1981,1,6,3,12,403,24,59,45,45,45,10,221
140,Pit,1903,1,6.4,3,8,15115,75,548,90,30,90,7,8551
141,Andromeda,1999,2,6.4,3,5,1861,28,123,60,60,60,10,1298
142,Vino,1999,3,6.4,3,5,897,40,84,90,90,90,12,676
144,Elfenwizards,1995,2,6.2,3,6,264,18,33,90,90,90,10,106
145,Metropolis,1984,2,6.4,2,5,702,40,96,90,90,90,16,363
146,Buy Low Sell High,1996,2,6.1,2,4,1200,21,65,60,60,60,12,874
147,Crude: The Oil Game,1974,3,6.7,2,4,1883,87,315,90,90,90,13,1084
148,Die GlAcksritter,1999,2,5.7,3,6,204,1,6,60,60,60,8,135
150,PitchCar,1995,1,7.3,2,8,10643,970,3220,30,30,30,6,9976
151,Piratenbillard,1959,1,6.6,2,4,288,83,168,15,15,15,8,393
152,MA & More,1995,2,7.2,2,8,3025,81,301,60,60,60,11,1850
153,Take 5!,1998,1,6.5,2,6,3873,20,133,60,60,60,10,2013
154,Union vs. Central,1999,4,6.7,2,2,209,69,114,360,360,360,12,104
155,Was sticht?,1993,2,7,3,4,904,43,114,60,60,60,12,633
156,Wildlife Adventure,1985,2,6.8,2,6,895,37,73,60,60,60,10,574
157,Eurorails,1990,3,7.1,2,6,2644,46,159,240,180,240,10,1771
162,The Awful Green Things From Outer Space,1979,2,6.5,2,2,4591,82,300,90,60,90,12,2566
163,Balderdash,1984,1,6.5,2,6,9749,26,322,60,60,60,12,5628
164,"Before I Kill You, Mister Spy...",1996,1,5.4,2,6,2421,24,93,30,30,30,12,1224
165,Black Box,1977,2,6.4,1,2,1598,14,102,20,20,20,10,856
166,Black Death,1993,2,5.7,2,6,270,12,30,120,120,120,0,136
167,Dicke Kartoffeln,1989,3,6.2,2,6,360,13,32,120,120,120,12,159
168,Empire Builder,1982,3,6.9,2,6,4272,87,356,180,180,180,12,2891
169,En Garde,1993,1,6.5,2,2,2104,117,379,30,20,30,8,1612
170,Family Business,1982,1,6.1,2,6,6071,34,291,30,30,30,8,4060
171,Chess,1475,4,7.2,2,2,43054,30,329,60,60,60,6,30537
172,For Sale,1997,1,7.2,3,6,30637,872,4482,30,30,30,10,25458
173,Formula DA,1997,2,7,2,10,8078,104,451,120,120,120,10,7670
174,T-Rex,1999,2,5.5,3,5,630,3,11,45,45,45,10,268
175,What the Heck?,1988,1,6.5,2,5,3362,49,193,20,20,20,7,2115
176,Give Me the Brain!,1996,1,5.8,3,8,3615,31,124,15,15,15,10,2124
178,Mole Hill,1997,2,6,2,2,355,17,52,15,15,15,8,204
179,Nuba,1995,2,6.3,2,2,116,3,14,10,10,10,12,54
180,Pool Position,1999,2,5.7,2,5,242,6,13,30,30,30,10,135
181,Risk,1959,2,5.6,2,6,49849,33,611,120,120,120,10,31510
182,Knights of Charlemagne,1995,1,6.4,2,4,1025,20,93,30,30,30,8,689
183,Stonehenge,1994,2,6.3,2,2,290,16,36,15,15,15,10,132
185,Devil Bunny Needs a Ham,1998,1,5.4,2,5,1282,6,29,30,30,30,8,698
186,Split,1999,1,5.9,2,6,512,1,7,30,30,30,12,187
188,Go,-2200,4,7.6,2,2,21331,145,1769,180,30,180,8,15442
189,Die Siedler von NArnberg,1999,3,6.9,3,4,1791,26,80,90,90,90,10,912
190,Dolce Vita,1999,2,6.1,3,5,386,5,16,30,30,30,10,196
192,Nicht die Bohne!,1999,1,6.3,3,6,1251,39,121,45,45,45,10,1045
193,Fill or Bust,1981,1,5.7,2,10,1241,7,29,30,30,30,8,582
194,Groo: The Game,1997,2,6.3,2,4,1129,79,131,45,45,45,10,818
195,NASCAR Champions,1998,1,5.4,2,5,216,6,8,30,30,30,8,100
196,Kremlin,1986,3,7,3,6,4021,149,510,75,75,75,12,2833
197,HellRail: Second Perdition,1999,2,6.1,3,4,149,8,15,75,75,75,13,95
198,Buried Treasure,1992,2,6,2,4,407,16,29,30,30,30,10,235
199,Manhattan,1994,2,6.7,2,4,7127,231,868,45,45,45,10,5173
200,Entdecker,1996,2,6.4,2,4,2387,58,189,60,60,60,10,1434
201,The Rose King,1992,2,6.8,2,4,5284,110,495,30,30,30,10,3305
202,Targui,1988,2,6.4,2,4,1567,19,51,120,120,120,12,734
204,Stephenson's Rocket,1999,3,6.9,2,4,4149,252,635,60,60,60,12,2696
206,Pepper,1998,2,6,3,9,272,11,20,45,45,45,10,158
207,Twitch,1998,1,6.1,3,6,372,6,15,15,15,15,10,180
208,Ex & Hopp,1996,1,5.4,2,6,149,1,2,30,30,30,10,68
210,Don Pepe,1999,1,6.2,3,6,907,22,38,30,30,30,8,486
211,Times to Remember,1992,1,6.3,2,10,462,2,12,45,45,45,10,232
214,CafA International,1989,2,6.2,2,4,3773,46,195,60,45,60,10,2625
215,Tichu,1991,2,7.6,4,4,21236,294,1864,60,60,60,10,13814
216,Atlanteon,1992,2,5.8,2,2,1400,9,52,30,30,30,12,717
217,A la carte,1989,1,6.5,2,4,4309,130,579,30,30,30,8,3140
218,High-Bid,1965,2,5.8,2,4,1162,14,31,25,25,25,12,268
219,Volle HAtte,1997,2,6.2,3,5,257,13,20,30,30,30,12,166
220,High Society,1995,2,7.1,3,5,14177,342,1776,30,15,30,10,10021
221,Ikusa,1986,3,7,2,5,8437,227,921,360,240,360,12,4974
222,Space Beans,1999,1,6.1,2,6,2521,46,94,40,40,40,10,1460
