"theme","year_published","total_sales"
"adventure",1908,"230.00"
"adventure",1955,"163.00"
"adventure",1964,"463.00"
"adventure",1971,"91.00"
"adventure",1972,"1191.00"
"adventure",1973,"2762.50"
"adventure",1975,"2295.75"
"adventure",1976,"142.67"
"adventure",1977,"1244.20"
"adventure",1978,"503.75"
"adventure",1979,"2047.75"
"adventure",1980,"512.00"
"adventure",1981,"1035.18"
"adventure",1982,"3484.00"
"adventure",1983,"1114.00"
"adventure",1984,"204.14"
"adventure",1985,"784.36"
"adventure",1986,"720.30"
"adventure",1987,"697.10"
"adventure",1988,"518.00"
"adventure",1989,"2064.73"
"adventure",1990,"832.60"
"adventure",1991,"909.64"
"adventure",1992,"449.33"
"adventure",1993,"492.09"
"adventure",1994,"768.25"
"adventure",1995,"1681.67"
"adventure",1996,"518.20"
"adventure",1997,"163.50"
"adventure",1998,"407.00"
"adventure",1999,"882.25"
"adventure",2000,"3751.43"
"adventure",2001,"905.90"
"adventure",2002,"2119.28"
"adventure",2003,"1559.62"
"adventure",2004,"5707.90"
"adventure",2005,"6450.30"
"adventure",2006,"588.86"
"adventure",2007,"1816.63"
"adventure",2008,"1508.23"
"adventure",2009,"2075.34"
"adventure",2010,"4924.53"
"adventure",2011,"6953.08"
"adventure",2012,"6367.29"
"adventure",2013,"3923.46"
"adventure",2014,"2678.08"
"adventure",2015,"3261.53"
"adventure",2016,"3112.89"
"adventure",2017,"3887.08"
"adventure",2018,"2538.35"
"adventure",2019,"1904.16"
"adventure",2020,"1826.84"
"adventure",2021,"827.66"
"age_of_reason",1972,"579.33"
"age_of_reason",1974,"1754.25"
"age_of_reason",1975,"940.50"
"age_of_reason",1978,"236.50"
"age_of_reason",1980,"270.00"
"age_of_reason",1981,"451.00"
"age_of_reason",1982,"376.00"
"age_of_reason",1983,"259.50"
"age_of_reason",1985,"455.00"
"age_of_reason",1987,"279.00"
"age_of_reason",1992,"202.00"
"age_of_reason",1993,"767.00"
"age_of_reason",1994,"293.00"
"age_of_reason",1995,"265.25"
"age_of_reason",1996,"291.67"
"age_of_reason",1997,"573.33"
"age_of_reason",1998,"493.67"
"age_of_reason",2000,"405.67"
"age_of_reason",2001,"3996.00"
"age_of_reason",2002,"485.33"
"age_of_reason",2003,"875.00"
"age_of_reason",2004,"1066.25"
"age_of_reason",2005,"1331.44"
"age_of_reason",2006,"251.00"
"age_of_reason",2007,"675.33"
"age_of_reason",2008,"911.71"
"age_of_reason",2009,"1184.00"
"age_of_reason",2010,"1323.80"
"age_of_reason",2011,"2575.00"
"age_of_reason",2012,"314.17"
"age_of_reason",2013,"1644.40"
"age_of_reason",2014,"479.00"
"age_of_reason",2015,"237.00"
"age_of_reason",2016,"2102.50"
"age_of_reason",2017,"500.31"
"age_of_reason",2018,"1553.86"
"age_of_reason",2019,"230.60"
"age_of_reason",2020,"1231.25"
"age_of_reason",2021,"993.00"
"american_civil_war",1961,"244.00"
"american_civil_war",1972,"201.50"
"american_civil_war",1975,"144.00"
"american_civil_war",1977,"507.00"
"american_civil_war",1978,"772.00"
"american_civil_war",1979,"411.33"
"american_civil_war",1980,"495.50"
"american_civil_war",1981,"1182.50"
"american_civil_war",1983,"230.50"
"american_civil_war",1984,"241.67"
"american_civil_war",1985,"233.50"
"american_civil_war",1988,"546.00"
"american_civil_war",1990,"307.83"
"american_civil_war",1991,"317.75"
"american_civil_war",1992,"347.67"
"american_civil_war",1993,"567.25"
"american_civil_war",1994,"414.33"
"american_civil_war",1995,"467.88"
"american_civil_war",1996,"653.67"
"american_civil_war",1997,"321.50"
"american_civil_war",1998,"452.00"
"american_civil_war",1999,"1559.00"
"american_civil_war",2000,"341.50"
"american_civil_war",2001,"905.00"
"american_civil_war",2002,"254.00"
"american_civil_war",2003,"221.50"
"american_civil_war",2004,"432.00"
"american_civil_war",2006,"397.00"
"american_civil_war",2007,"488.50"
"american_civil_war",2008,"370.50"
"american_civil_war",2009,"690.50"
"american_civil_war",2010,"492.67"
"american_civil_war",2011,"392.33"
"american_civil_war",2012,"466.00"
"american_civil_war",2013,"722.60"
"american_civil_war",2014,"676.67"
"american_civil_war",2015,"105.00"
"american_civil_war",2016,"380.00"
"american_civil_war",2018,"899.38"
"american_civil_war",2019,"224.50"
"american_civil_war",2021,"635.00"
"american_indian_wars",1973,"1174.00"
"american_indian_wars",2004,"279.00"
"american_indian_wars",2012,"1555.00"
"american_indian_wars",2020,"170.00"
"american_revolutionary_war",2004,"144.00"
"american_revolutionary_war",2013,"562.00"
