"theme","avg_sales"
"spies_secret_agents","4558.48"
"renaissance","4093.89"
"environmental","3905.16"
"economic","3110.82"
"adventure","3093.25"
"medieval","2610.68"
"civilization","2490.88"
"city_building","2431.84"
"fighting","2346.63"
"horror","2325.90"
"political","2220.26"
"trains","2158.06"
"numbers","2062.26"
"fantasy","2055.81"
"cooking","1947.29"
"post_napoleonic","1944.47"
"mythology","1914.75"
"industry_manufacturing","1906.73"
"comic_book","1800.10"
"novel_based","1798.41"
"science_fiction","1679.52"
"medical","1671.98"
"farming","1561.85"
"travel","1464.02"
"murder_mystery","1436.76"
"transportation","1396.71"
"animals","1259.17"
"ancient","1244.49"
"american_west","1217.20"
"nautical","1210.75"
"american_indian_wars","1093.33"
"prehistoric","1054.65"
"age_of_reason","1005.43"
"pirates","967.33"
"trivia","923.37"
"humor","876.41"
"movies_tv_radio","838.80"
"world_war_I","815.59"
"mafia","805.11"
"civil_war","797.39"
"video_game","770.43"
"racing","702.91"
"modern_warfare","663.59"
"religious","656.53"
"mature_adult","648.45"
"world_war_II","630.14"
"american_civil_war","597.59"
"aviation_flight","501.76"
"space_exploration","483.93"
"vietnam_war","473.83"
"maze","468.56"
"arabian","459.40"
"pike_and_shot","426.67"
"sports","420.78"
"zombies","412.04"
"napoleonic","404.98"
"music","404.70"
"american_revolutionary_war","321.86"
"korean_war","300.00"
"math","263.69"
