"theme","year_published","total_sales"
"adventure",1908,"230.00"
"adventure",1955,"163.00"
"adventure",1964,"463.00"
"adventure",1971,"91.00"
"adventure",1972,"2382.00"
"adventure",1973,"5525.00"
"adventure",1975,"9183.00"
"adventure",1976,"428.00"
"adventure",1977,"6221.00"
"adventure",1978,"2015.00"
"adventure",1979,"8191.00"
"adventure",1980,"5632.00"
"adventure",1981,"11387.00"
"adventure",1982,"34840.00"
"adventure",1983,"7798.00"
"adventure",1984,"1429.00"
"adventure",1985,"8628.00"
"adventure",1986,"7203.00"
"adventure",1987,"6971.00"
"adventure",1988,"3108.00"
"adventure",1989,"22712.00"
"adventure",1990,"8326.00"
"adventure",1991,"10006.00"
"adventure",1992,"2696.00"
"adventure",1993,"5413.00"
"adventure",1994,"3073.00"
"adventure",1995,"10090.00"
"adventure",1996,"2591.00"
"adventure",1997,"327.00"
"adventure",1998,"4070.00"
"adventure",1999,"3529.00"
"adventure",2000,"26260.00"
"adventure",2001,"9059.00"
"adventure",2002,"38147.00"
"adventure",2003,"32752.00"
"adventure",2004,"114158.00"
"adventure",2005,"174158.00"
"adventure",2006,"16488.00"
"adventure",2007,"43599.00"
"adventure",2008,"39214.00"
"adventure",2009,"66411.00"
"adventure",2010,"167434.00"
"adventure",2011,"264217.00"
"adventure",2012,"222855.00"
"adventure",2013,"160862.00"
"adventure",2014,"131226.00"
"adventure",2015,"244615.00"
"adventure",2016,"202338.00"
"adventure",2017,"369273.00"
"adventure",2018,"223375.00"
"adventure",2019,"198033.00"
"adventure",2020,"127879.00"
"adventure",2021,"60419.00"
"age_of_reason",1972,"1738.00"
"age_of_reason",1974,"7017.00"
"age_of_reason",1975,"1881.00"
"age_of_reason",1978,"946.00"
"age_of_reason",1980,"270.00"
"age_of_reason",1981,"902.00"
"age_of_reason",1982,"1128.00"
"age_of_reason",1983,"519.00"
"age_of_reason",1985,"455.00"
"age_of_reason",1987,"279.00"
"age_of_reason",1992,"202.00"
"age_of_reason",1993,"2301.00"
"age_of_reason",1994,"1172.00"
"age_of_reason",1995,"1061.00"
"age_of_reason",1996,"875.00"
"age_of_reason",1997,"1720.00"
"age_of_reason",1998,"1481.00"
"age_of_reason",2000,"1217.00"
"age_of_reason",2001,"3996.00"
"age_of_reason",2002,"2912.00"
"age_of_reason",2003,"875.00"
"age_of_reason",2004,"4265.00"
"age_of_reason",2005,"11983.00"
"age_of_reason",2006,"251.00"
"age_of_reason",2007,"2026.00"
"age_of_reason",2008,"6382.00"
"age_of_reason",2009,"8288.00"
"age_of_reason",2010,"6619.00"
"age_of_reason",2011,"10300.00"
"age_of_reason",2012,"1885.00"
"age_of_reason",2013,"8222.00"
"age_of_reason",2014,"2395.00"
"age_of_reason",2015,"237.00"
"age_of_reason",2016,"4205.00"
"age_of_reason",2017,"6504.00"
"age_of_reason",2018,"10877.00"
"age_of_reason",2019,"1153.00"
"age_of_reason",2020,"4925.00"
"age_of_reason",2021,"993.00"
"american_civil_war",1961,"244.00"
"american_civil_war",1972,"403.00"
"american_civil_war",1975,"720.00"
"american_civil_war",1977,"507.00"
"american_civil_war",1978,"772.00"
"american_civil_war",1979,"1234.00"
"american_civil_war",1980,"2973.00"
"american_civil_war",1981,"4730.00"
"american_civil_war",1983,"922.00"
"american_civil_war",1984,"725.00"
"american_civil_war",1985,"467.00"
"american_civil_war",1988,"3276.00"
"american_civil_war",1990,"1847.00"
"american_civil_war",1991,"1271.00"
"american_civil_war",1992,"1043.00"
"american_civil_war",1993,"4538.00"
"american_civil_war",1994,"1243.00"
"american_civil_war",1995,"3743.00"
"american_civil_war",1996,"1961.00"
"american_civil_war",1997,"1286.00"
"american_civil_war",1998,"1808.00"
"american_civil_war",1999,"6236.00"
"american_civil_war",2000,"683.00"
"american_civil_war",2001,"905.00"
"american_civil_war",2002,"254.00"
"american_civil_war",2003,"443.00"
"american_civil_war",2004,"2592.00"
"american_civil_war",2006,"397.00"
"american_civil_war",2007,"977.00"
"american_civil_war",2008,"741.00"
"american_civil_war",2009,"1381.00"
"american_civil_war",2010,"2956.00"
"american_civil_war",2011,"1177.00"
"american_civil_war",2012,"1398.00"
"american_civil_war",2013,"3613.00"
"american_civil_war",2014,"2030.00"
"american_civil_war",2015,"105.00"
"american_civil_war",2016,"760.00"
"american_civil_war",2018,"7195.00"
"american_civil_war",2019,"449.00"
"american_civil_war",2021,"635.00"
"american_indian_wars",1973,"1174.00"
"american_indian_wars",2004,"279.00"
"american_indian_wars",2012,"3110.00"
